Crash Year,crash_month,dry,wet,ice,snow,"mud,_dirt,_gravel",slush,debris,water_(standing/moving),sand,oily,other_/_unknown,other,unknown,uncoded_&_errors,total
2004,1,125,88,34,125,0,21,0,0,0,0,0,0,0,0,393
2004,2,139,54,22,8,0,0,0,0,0,0,0,0,0,0,223
2004,3,154,61,18,9,0,1,0,0,0,0,0,0,0,0,243
2004,4,256,21,0,1,0,0,0,0,0,0,0,0,0,0,278
2004,5,204,64,0,0,0,0,0,0,0,0,0,0,0,0,268
2004,6,192,46,0,0,0,0,0,0,0,0,0,0,0,0,238
2004,7,202,27,0,0,0,0,0,0,0,0,0,0,0,0,229
2004,8,196,49,0,0,0,0,0,0,0,0,0,0,0,0,245
2004,9,233,4,0,0,0,0,0,0,0,0,0,0,0,0,237
2004,10,206,84,0,0,0,0,0,0,0,0,0,0,0,0,290
2004,11,174,120,3,1,0,4,0,0,0,0,0,0,0,0,302
2004,12,163,110,21,55,0,10,0,0,0,0,0,0,0,0,359
2005,1,115,97,29,100,0,25,0,0,0,0,0,0,0,0,366
2005,2,98,86,40,46,0,13,1,0,0,0,0,0,0,0,284
2005,3,161,39,10,29,0,3,0,0,0,0,0,0,0,0,242
2005,4,200,30,0,1,0,2,0,0,0,0,0,0,0,0,233
2005,5,183,36,0,0,0,0,0,0,0,0,0,0,0,0,219
2005,6,216,25,0,0,0,0,0,0,0,0,0,0,0,0,241
2005,7,209,28,0,0,0,0,0,0,0,0,0,0,0,0,237
2005,8,210,14,0,0,0,0,0,0,0,0,0,0,0,0,224
2005,9,230,43,1,0,0,0,0,0,0,0,0,0,0,0,274
2005,10,213,15,0,1,0,0,0,0,0,0,0,0,0,0,229
2005,11,200,64,23,42,1,5,0,0,0,0,0,0,0,0,335
2005,12,97,95,37,66,0,31,0,0,0,0,0,0,0,0,326
2006,1,110,110,23,4,0,1,0,0,0,0,0,0,0,0,248
2006,2,128,49,16,11,0,5,0,0,0,0,0,0,0,0,209
2006,3,153,60,10,0,0,0,0,0,0,0,0,0,0,0,223
2006,4,190,39,0,0,0,0,0,0,0,0,0,0,0,0,229
2006,5,184,81,0,0,0,0,0,0,0,0,0,0,0,0,265
2006,6,212,25,0,0,0,0,0,0,0,0,0,0,0,0,237
2006,7,183,38,0,0,0,0,0,0,0,0,0,0,0,0,221
2006,8,185,29,0,0,0,0,0,0,0,0,0,0,0,0,214
2006,9,175,77,0,0,0,0,0,0,0,0,0,0,0,0,252
2006,10,201,85,0,0,0,0,0,0,0,0,0,0,0,0,286
2006,11,145,76,24,0,0,1,0,0,0,0,0,0,0,0,246
2006,12,136,80,9,12,0,0,0,0,0,0,0,0,0,0,237
2007,1,85,112,33,26,0,5,0,0,0,0,0,0,0,0,261
2007,2,121,68,24,39,0,13,0,0,0,0,0,0,0,0,265
2007,3,141,36,35,25,0,7,0,0,0,0,0,0,0,0,244
2007,4,137,46,10,3,0,0,0,0,0,0,0,0,0,0,196
2007,5,189,28,0,0,0,0,0,0,0,0,0,0,0,0,217
2007,6,182,24,0,0,0,0,0,0,0,0,0,0,0,0,206
2007,7,175,24,0,0,0,0,0,0,0,0,0,0,0,0,199
2007,8,201,37,0,0,0,0,0,0,0,0,0,0,0,0,238
2007,9,195,17,0,0,0,0,0,0,0,0,0,0,0,0,212
2007,10,180,82,1,0,0,0,0,0,0,0,0,0,0,0,263
2007,11,153,102,15,1,0,1,0,0,0,0,0,0,0,0,272
2007,12,101,104,47,39,0,11,0,0,0,0,0,0,0,0,302
2008,1,100,80,17,63,0,12,0,0,0,0,0,0,0,0,272
2008,2,65,55,83,83,0,25,0,0,0,0,0,0,0,0,311
2008,3,125,36,26,57,0,5,0,0,0,0,0,0,0,0,249
2008,4,140,11,0,0,0,0,1,0,0,0,0,0,0,0,152
2008,5,141,35,0,0,0,0,0,0,0,0,0,0,0,0,176
2008,6,140,30,0,0,0,0,0,0,0,0,0,0,0,0,170
2008,7,167,18,0,0,0,0,0,0,0,0,0,0,0,0,185
2008,8,149,9,0,0,0,0,0,0,0,0,0,0,0,0,158
2008,9,170,29,1,0,0,0,0,0,0,0,0,0,0,0,200
2008,10,210,47,0,0,0,0,0,0,0,0,0,0,0,0,257
2008,11,120,77,10,18,0,12,0,0,0,0,0,0,0,0,237
2008,12,65,73,97,81,0,19,0,0,0,0,0,0,0,0,335
2009,1,70,67,98,168,0,17,0,0,0,0,0,0,0,0,420
2009,2,107,36,35,45,0,5,0,0,0,0,0,0,0,0,228
2009,3,120,39,0,0,0,0,0,0,0,0,0,0,0,0,159
2009,4,138,49,0,4,0,2,0,0,0,0,0,0,0,0,193
2009,5,178,19,0,0,0,0,0,0,0,0,0,0,0,0,197
2009,6,167,37,0,0,0,0,0,0,0,0,0,0,0,0,204
2009,7,155,18,0,0,0,0,0,0,0,0,0,0,0,0,173
2009,8,127,38,0,0,0,0,0,0,0,0,0,0,0,0,165
2009,9,164,35,0,0,0,0,0,0,0,0,0,0,0,0,199
2009,10,145,97,0,0,0,0,0,0,0,0,0,0,0,0,242
2009,11,194,34,19,0,0,0,0,0,0,0,0,0,0,0,247
2009,12,109,60,35,56,0,9,0,0,0,0,0,0,0,0,269
2010,1,98,44,23,52,0,3,0,0,0,0,0,0,0,0,220
2010,2,108,46,28,93,1,11,0,0,0,0,0,0,0,0,287
2010,3,150,22,2,0,0,0,0,0,0,0,0,0,0,0,174
2010,4,180,27,0,1,0,0,0,0,0,0,0,0,0,0,208
2010,5,160,56,0,0,0,0,0,0,0,0,0,0,0,0,216
2010,6,182,20,0,0,0,0,0,0,0,0,0,0,0,0,202
2010,7,176,32,0,0,0,0,0,0,0,0,0,0,0,0,208
2010,8,180,18,0,0,0,0,0,0,0,0,0,0,0,0,198
2010,9,208,39,0,0,0,0,0,0,0,0,0,0,0,0,247
2010,10,243,21,0,0,0,0,1,0,0,0,0,0,0,0,265
2010,11,205,49,0,0,0,0,1,0,0,0,0,0,0,0,255
2010,12,126,69,57,31,0,10,0,0,0,0,0,0,0,0,293
2011,1,98,59,52,120,0,17,0,0,0,0,0,0,0,0,346
2011,2,107,54,16,97,0,15,0,0,0,0,0,0,0,0,289
2011,3,161,41,9,16,1,1,0,0,0,0,0,0,0,0,229
2011,4,125,68,1,0,0,1,0,0,0,0,0,0,0,0,195
2011,5,179,66,1,0,0,0,0,0,0,0,0,0,0,0,246
2011,6,227,27,0,0,0,0,0,0,0,0,0,0,0,0,254
2011,7,160,14,0,0,0,0,0,0,0,0,0,0,0,0,174
2011,8,205,15,0,0,0,0,0,0,0,0,0,0,0,0,220
2011,9,212,85,0,0,0,0,0,0,0,0,0,0,0,0,297
2011,10,217,61,0,0,0,0,0,0,0,0,0,0,0,0,278
2011,11,219,71,6,3,0,2,0,0,0,0,0,0,0,0,301
2011,12,189,96,11,5,0,2,0,0,0,0,0,0,0,0,303
2012,1,113,61,36,47,0,12,0,0,0,0,0,0,0,0,269
2012,2,124,50,23,39,0,5,0,0,0,0,0,0,0,0,241
2012,3,178,35,6,1,1,0,0,0,0,0,0,0,0,0,221
2012,4,211,33,0,0,0,0,0,0,0,0,0,0,0,0,244
2012,5,225,24,0,0,0,0,0,0,0,0,0,0,0,0,249
2012,6,232,29,0,0,0,0,0,0,0,0,0,0,0,0,261
2012,7,206,15,0,0,0,0,0,0,0,0,0,0,0,0,221
2012,8,229,27,0,0,0,0,0,0,0,0,0,0,0,0,256
2012,9,255,36,0,0,0,0,0,0,0,0,0,0,0,0,291
2012,10,221,111,0,0,0,0,0,0,0,0,0,0,0,0,332
2012,11,254,15,5,0,0,0,0,0,0,0,0,0,0,0,274
2012,12,142,103,17,34,0,4,0,0,0,0,0,0,0,0,300
2013,1,135,70,35,76,0,8,0,0,0,0,0,0,0,0,324
2013,2,106,58,27,61,0,13,0,0,0,0,0,0,0,0,265
2013,3,162,37,8,3,0,4,0,0,0,0,0,0,0,0,214
2013,4,186,63,2,0,1,0,0,0,0,0,0,0,0,0,252
2013,5,248,41,0,0,0,0,0,0,0,0,0,0,0,0,289
2013,6,229,52,0,0,0,0,0,0,0,0,0,0,0,0,281
2013,7,223,35,0,0,0,0,0,0,0,0,0,0,0,0,258
2013,8,252,30,0,0,0,0,0,0,0,0,0,0,0,0,282
2013,9,266,28,0,0,1,0,0,0,0,0,0,0,0,0,295
2013,10,259,77,0,0,1,0,0,0,0,0,0,0,0,0,337
2013,11,233,76,35,18,0,0,0,0,0,0,0,0,0,0,362
2013,12,118,77,20,87,1,14,0,0,0,0,0,0,0,0,317
2014,1,46,60,119,267,0,26,0,0,0,0,0,0,0,0,518
2014,2,88,40,58,106,0,24,0,0,0,0,0,0,0,0,316
2014,3,168,42,22,33,1,2,0,0,0,0,0,0,0,0,268
2014,4,185,35,0,3,0,1,0,0,0,0,0,0,0,0,224
2014,5,238,45,0,0,0,0,0,0,0,0,0,0,0,0,283
2014,6,265,45,0,0,0,0,1,0,0,0,0,0,0,0,311
2014,7,250,19,0,0,0,0,0,0,0,0,0,0,0,0,269
2014,8,259,31,0,0,0,0,0,0,0,0,0,0,0,0,290
2014,9,272,33,0,0,0,0,0,0,0,0,0,0,0,0,305
2014,10,261,85,0,0,0,0,0,0,0,0,0,0,0,0,346
2014,11,188,70,48,39,0,3,0,0,0,0,0,0,0,0,348
2014,12,189,52,24,2,0,0,0,0,0,0,0,0,0,0,267
2015,1,117,59,67,88,0,15,0,0,0,0,0,0,0,0,346
2015,2,133,63,22,88,0,10,0,0,0,0,0,0,0,0,316
2015,3,204,37,9,16,0,1,0,0,0,0,0,0,0,0,267
2015,4,191,46,0,0,0,0,0,0,0,0,0,0,0,0,237
2015,5,212,49,0,0,0,0,0,0,0,0,0,0,0,0,261
2015,6,249,39,0,0,0,0,0,0,0,0,0,0,0,0,288
2015,7,231,23,0,0,0,0,0,0,0,0,0,0,0,0,254
2015,8,238,24,0,0,0,0,0,0,0,0,0,0,0,0,262
2015,9,281,30,0,0,0,0,0,0,0,0,0,0,0,0,311
2015,10,305,41,0,0,2,0,0,0,0,0,0,0,0,0,348
2015,11,209,65,14,33,0,3,0,0,0,0,0,0,0,0,324
2015,12,171,78,17,3,0,1,0,0,0,0,0,0,0,0,270
2016,1,160,81,23,41,1,6,0,0,0,0,0,9,0,0,321
2016,2,161,31,18,55,0,12,0,0,0,0,0,14,0,0,291
2016,3,237,60,20,42,0,4,0,0,0,0,0,7,0,0,370
2016,4,255,88,1,2,0,0,0,0,0,0,0,9,0,0,355
2016,5,272,37,0,0,0,0,0,0,0,0,0,6,0,0,315
2016,6,286,17,0,0,2,0,0,0,0,0,0,4,0,0,309
2016,7,299,24,0,0,1,0,0,0,0,0,0,6,0,0,330
2016,8,296,21,0,0,0,0,0,0,0,0,0,2,2,0,321
