Crash Year,crash_month,snow,ice,slush,total
2004,1,125,34,21,181
2004,2,8,22,0,32
2004,3,9,18,1,31
2004,4,1,0,0,5
2004,5,0,0,0,5
2004,6,0,0,0,6
2004,7,0,0,0,7
2004,8,0,0,0,8
2004,9,0,0,0,9
2004,10,0,0,0,10
2004,11,1,3,4,19
2004,12,55,21,10,98
2005,1,100,29,25,155
2005,2,46,40,13,101
2005,3,29,10,3,45
2005,4,1,0,2,7
2005,5,0,0,0,5
2005,6,0,0,0,6
2005,7,0,0,0,7
2005,8,0,0,0,8
2005,9,0,1,0,10
2005,10,1,0,0,11
2005,11,42,23,5,81
2005,12,66,37,31,146
2006,1,4,23,1,29
2006,2,11,16,5,34
2006,3,0,10,0,13
2006,4,0,0,0,4
2006,5,0,0,0,5
2006,6,0,0,0,6
2006,7,0,0,0,7
2006,8,0,0,0,8
2006,9,0,0,0,9
2006,10,0,0,0,10
2006,11,0,24,1,36
2006,12,12,9,0,33
2007,1,26,33,5,65
2007,2,39,24,13,78
2007,3,25,35,7,70
2007,4,3,10,0,17
2007,5,0,0,0,5
2007,6,0,0,0,6
2007,7,0,0,0,7
2007,8,0,0,0,8
2007,9,0,0,0,9
2007,10,0,1,0,11
2007,11,1,15,1,28
2007,12,39,47,11,109
2008,1,63,17,12,93
2008,2,83,83,25,193
2008,3,57,26,5,91
2008,4,0,0,0,4
2008,5,0,0,0,5
2008,6,0,0,0,6
2008,7,0,0,0,7
2008,8,0,0,0,8
2008,9,0,1,0,10
2008,10,0,0,0,10
2008,11,18,10,12,51
2008,12,81,97,19,209
2009,1,168,98,17,284
2009,2,45,35,5,87
2009,3,0,0,0,3
2009,4,4,0,2,10
2009,5,0,0,0,5
2009,6,0,0,0,6
2009,7,0,0,0,7
2009,8,0,0,0,8
2009,9,0,0,0,9
2009,10,0,0,0,10
2009,11,0,19,0,30
2009,12,56,35,9,112
2010,1,52,23,3,79
2010,2,93,28,11,134
2010,3,0,2,0,5
2010,4,1,0,0,5
2010,5,0,0,0,5
2010,6,0,0,0,6
2010,7,0,0,0,7
2010,8,0,0,0,8
2010,9,0,0,0,9
2010,10,0,0,0,10
2010,11,0,0,0,11
2010,12,31,57,10,110
2011,1,120,52,17,190
2011,2,97,16,15,130
2011,3,16,9,1,29
2011,4,0,1,1,6
2011,5,0,1,0,6
2011,6,0,0,0,6
2011,7,0,0,0,7
2011,8,0,0,0,8
2011,9,0,0,0,9
2011,10,0,0,0,10
2011,11,3,6,2,22
2011,12,5,11,2,30
2012,1,47,36,12,96
2012,2,39,23,5,69
2012,3,1,6,0,10
2012,4,0,0,0,4
2012,5,0,0,0,5
2012,6,0,0,0,6
2012,7,0,0,0,7
2012,8,0,0,0,8
2012,9,0,0,0,9
2012,10,0,0,0,10
2012,11,0,5,0,16
2012,12,34,17,4,67
2013,1,76,35,8,120
2013,2,61,27,13,103
2013,3,3,8,4,18
2013,4,0,2,0,6
2013,5,0,0,0,5
2013,6,0,0,0,6
2013,7,0,0,0,7
2013,8,0,0,0,8
2013,9,0,0,0,9
2013,10,0,0,0,10
2013,11,18,35,0,64
2013,12,87,20,14,133
2014,1,267,119,26,413
2014,2,106,58,24,190
2014,3,33,22,2,60
2014,4,3,0,1,8
2014,5,0,0,0,5
2014,6,0,0,0,6
2014,7,0,0,0,7
2014,8,0,0,0,8
2014,9,0,0,0,9
2014,10,0,0,0,10
2014,11,39,48,3,101
2014,12,2,24,0,38
2015,1,88,67,15,171
2015,2,88,22,10,122
2015,3,16,9,1,29
2015,4,0,0,0,4
2015,5,0,0,0,5
2015,6,0,0,0,6
2015,7,0,0,0,7
2015,8,0,0,0,8
2015,9,0,0,0,9
2015,10,0,0,0,10
2015,11,33,14,3,61
2015,12,3,17,1,33
2016,1,41,23,6,71
2016,2,55,18,12,87
2016,3,42,20,4,69
2016,4,2,1,0,7
2016,5,0,0,0,5
2016,6,0,0,0,6
2016,7,0,0,0,7
2016,8,0,0,0,8
2016,9,0,0,0,9
2016,10,0,0,0,10
2016,11,1,0,0,12
2016,12,57,22,8,99
